gene_name,total variance,interclonal variance,intraclonal variance,ANOVA F,p
LRRC28,3795.3354,2150.0641280412674,1645.2710050344467,56.02967487282699,8.880817186113218e-58
PLS3-1,1399.5194,765.1807247400284,634.338740559062,51.718618894874375,1.6675048889808167e-54
REG4,1592.97,853.9732651114464,738.9967542886734,49.545689516453194,8.464181129989064e-53
AMICA1,3789.3022,2007.6078813672066,1781.6941401571967,48.31142785597566,8.199558566813118e-52
AC010970.2,113.19789,53.244806200265884,59.95308857411146,38.07762235659321,4.236297919304417e-43
KLRC2,2903.4702,1353.309981316328,1550.1603764216416,37.43042741350224,1.6334675783299334e-42
CXCR6,3656.9214,1648.9499152898788,2007.971533715725,35.20902882882333,1.8189728296222642e-40
KLRC3,994.3357,446.2662671934813,548.0694562345743,34.91102448469831,3.456305146493828e-40
KLRD1,3032.746,1319.7071748375893,1713.038864850998,33.03045031969152,2.0974561401933088e-38
ANXA1,3694.811,1600.341854546219,2094.4692521095276,32.75992566831009,3.8162367109321743e-38
CD2,383.09158,163.83985386230052,219.25171348452568,32.039128099411265,1.8991443970497587e-37
IL32,110.80702,46.39456569775939,64.41243909299374,30.881721485808466,2.5762794293531983e-36
TIMD4,2454.483,1020.0391559880518,1434.4439723491669,30.488593250083465,6.30163212250546e-36
GPR15,2079.5078,861.1978939175606,1218.3099275231361,30.30744383474148,9.530398090276825e-36
CCL4L1,3718.016,1520.6217052936554,2197.3940827846527,29.669987793834807,4.117737611230144e-35
KLRB1,2694.5276,1057.0589177161455,1637.4689293205738,27.67771667941492,4.3175264797303405e-33
MALAT1,207.07918,80.15734138898551,126.92182560265064,27.07765977785448,1.7957607136339156e-32
KLRC1,2956.2627,1125.9509721323848,1830.3115396499634,26.37537210709404,9.660780003629536e-32
ALOX5AP,3461.5955,1286.5013774037361,2175.094078063965,25.359246348223053,1.1338658358019926e-30
CCL3L1,1605.8031,576.0751471817493,1029.7279333472252,23.986162883947816,3.336887380190478e-29
MIR155HG,2232.6177,797.2702353000641,1435.347721837461,23.815108226688732,5.107950659875088e-29
LAG3,2003.5653,694.665373764261,1308.8998948335648,22.754817245920776,7.31322157444546e-28
SAMD3,2027.8362,698.376217648387,1329.4599707126617,22.522588864126238,1.3168227664895875e-27
LAIR2,3156.7373,1077.9389723874629,2078.798323124647,22.232379604599707,2.7534054163474666e-27
PLEK,3151.9485,1075.5698369145393,2076.378660917282,22.20936750396896,2.9196227896989395e-27
B2M,43.278084,14.736778201418929,28.541298482567072,22.137723193349522,3.5045597430632816e-27
RP11-217O12.1,154.7895,51.68992047687061,103.09958179295063,21.49577429806179,1.8145332200303474e-26
RP3-477M7.5,1017.2701,336.2781654894352,680.9918938465416,21.17195002707117,4.1823949804956674e-26
CD74,1063.0503,346.4429272413254,716.6073032617569,20.72786648679488,1.322621082248642e-25
CCL4,1531.3993,494.91993371397257,1036.4792892932892,20.472856888877118,2.5701874183376393e-25
CCL3L3,2621.219,844.578202009201,1776.6406297683716,20.381888044441222,3.2594194868822685e-25
CCL5,163.0455,51.97052811551839,111.07499863952398,20.060647492639035,7.560305367248055e-25
FTL,146.19504,46.19965594448149,99.99538363516331,19.809016942689077,1.4652465811005942e-24
LGALS3BP,792.9534,246.25793391652405,546.6954413950443,19.312963155003686,5.4375531931107616e-24
PDGFA,1751.6095,543.9352000621147,1207.6742423772812,19.31085460327103,5.468052988872002e-24
IFITM1,2926.0112,907.5632497908082,2018.448169350624,19.278064666530234,5.965106958126841e-24
CCL4L2,2563.7686,787.991456747055,1775.7771368026733,19.025548312250983,1.1673207264319331e-23
GIMAP4,3329.3193,1016.1661888360977,2313.153183698654,18.834950341111313,1.9406809256620044e-23
DOCK5,1451.207,441.8322746157646,1009.3747682571411,18.767616716693063,2.3231986422537993e-23
CADM1,1892.3055,575.7362091089599,1316.5691705197096,18.74925413588599,2.440094629194534e-23
MT-TN,1218.4158,370.4715829263441,847.9442684650421,18.73232676803198,2.5530862526466487e-23
CSF1,2979.7139,894.3029761314392,2085.411033630371,18.386418544494767,6.453846323505475e-23
SLAMF7,1371.4218,410.05026665329933,961.3713541207835,18.28731957469101,8.424908409607692e-23
ACTB,144.79231,41.97884989902377,102.8134381622076,17.505913833764144,6.981110434946513e-22
CD40LG,1259.8936,362.56671470589936,897.32692694664,17.323728315956163,1.146829857762417e-21
RPL38P4,1283.6697,362.521563497583,921.1480547189713,16.873630634437852,3.930649828554113e-21
CCL3,1906.2441,538.003505356377,1368.2404996156693,16.858805377149718,4.093951919160878e-21
HLA-DRB5,2836.3496,799.3039782941341,2037.0453496426344,16.823463491067162,4.511293353957543e-21
SELL,2120.1743,596.6609026598744,1523.513264656067,16.791344581641837,4.9275722727307435e-21
TMSB10P1,470.59076,132.13762877508998,338.45313346385956,16.739099962674572,5.688801327968765e-21
ID3,1274.867,357.0024292767048,917.864563703537,16.676184875770616,6.7641239902780634e-21
FAM49A,1961.8856,536.7924057617784,1425.0932151526213,16.14980280049361,2.89676279425514e-20
CCL20,782.0639,212.56355990841985,569.5002895593643,16.00291132094938,4.355420392691716e-20
CD200R1,1117.8207,302.60696263611317,815.2138161659241,15.915178650974482,5.558910162945329e-20
RP11-465B22.3,810.4695,218.10508329607546,592.3643842637539,15.786322903160112,7.958887056535059e-20
MAF,1347.6926,362.5294966697693,985.1631515026093,15.777541157532008,8.156144403300128e-20
IFNG,3187.014,846.8612517565489,2340.152883172035,15.51572823731311,1.694642616898097e-19
IL2RA,3378.712,897.6054983884096,2481.106518268585,15.511158211078865,1.7164539263736621e-19
ASB2,2024.9374,534.2840504050255,1490.6534017343074,15.367374222917089,2.5677718716993564e-19
STMN1,2142.7375,561.3605174422264,1581.3769762376323,15.2198574704168,3.8849668127570254e-19
GNG8,2268.4534,592.5714541273192,1675.8817789554596,15.160079556174974,4.595843590275824e-19
SRGN,334.71698,87.26780220493674,247.44917850196362,15.12070899644135,5.1340811882167835e-19
NKG7,311.73376,80.891671217978,230.8421400859952,15.024251647375966,6.736161343793718e-19
S1PR1,1243.6293,320.031261049211,923.5980852344073,14.85639753573382,1.0815466243467522e-18
SH3BGRL3,84.47627,21.598527844063938,62.87772447615862,14.727582606227541,1.5566030300681394e-18
FCGR3A,2125.0933,541.6793827058282,1583.4137969128788,14.667362112665879,1.845870663003325e-18
CCL23,1797.5336,448.10342597961426,1349.4302229881287,14.23744189331454,6.258313596427781e-18
LTB,794.2313,197.3712090961635,596.8601444661617,14.178012501683751,7.413175037868873e-18
AC092580.4,381.9169,94.25750920549035,287.65939985215664,14.048874152078575,1.0715858998952502e-17
EOMES,1760.8447,434.56163666024804,1326.2830854654312,14.048154859239334,1.0737893759499947e-17
SRRT,2134.9617,522.5423409491777,1612.419358432293,13.894650142366647,1.6653549608140046e-17
TMSB10,348.5978,83.60465575009584,264.9931437820196,13.526952298184625,4.7825670413118816e-17
EPAS1,1735.2455,410.9356611326657,1324.3097761042882,13.30418818087436,9.08538397817487e-17
CCR2,1735.5204,409.1748004257679,1326.3457121253014,13.22684531481899,1.1357881307295096e-16
CLDND1,1390.0304,327.3517986703664,1062.6785025000572,13.207389003327659,1.201442370471287e-16
IFI44L,948.25323,222.80584618235025,725.4473192542791,13.16815212011264,1.345675668822688e-16
NPTN,1645.6233,385.8253694996238,1259.7978785037994,13.130886310860285,1.4987475977686984e-16
AOAH,2125.3037,493.299763225019,1632.003937780857,12.959666860260178,2.460367390747524e-16
CD300A,964.0082,222.7885035118088,741.2195148468018,12.88694765415487,3.037933311803346e-16
RDH10,2518.3525,575.5544770241249,1942.797901749611,12.701731960996183,5.202713293301452e-16
FTLP3,175.56508,40.00794127583504,135.5571530163288,12.654001976530166,5.977714704336558e-16
KLRG1,709.10205,161.16405589994974,547.9379873275757,12.610749859508045,6.77978354491582e-16
PDE7B,793.34485,180.27914516814053,613.0657359212637,12.607894873571476,6.836381525316049e-16
CD9,1885.0303,428.0746966600418,1456.9556649047881,12.597296583145312,7.050667960452441e-16
S100A4,1372.2229,310.34998379985336,1061.8730356395245,12.530928942371041,8.554805555497866e-16
GZMA,1908.124,425.16063356399536,1482.9633828103542,12.292118858330198,1.7179201160526594e-15
PER3,391.5365,85.95360074890777,305.58287581801414,12.059774692035196,3.392407990517082e-15
APOBEC3C,104.546906,22.881466157734394,81.66542944312096,12.012951725137837,3.891954413862853e-15
LRRN3,2308.2769,504.63972426299006,1803.6371258199215,11.995998456696173,4.090512713660721e-15
UBA52P5,666.4508,143.8453542161733,522.6054707989097,11.801195943452985,7.251510339423747e-15
COTL1,2621.887,563.7070918679237,2058.17995095253,11.74287095385017,8.609881366419766e-15
HLA-DMA,3357.648,719.8265787437558,2637.8215799331665,11.700019742965512,9.768279388746514e-15
CD3G,353.9995,74.97885774169117,279.0206920206547,11.521434135920776,1.654287039613403e-14
LPAR6,2596.4312,544.7831389904022,2051.647720813751,11.384789331644669,2.4775446392397055e-14
RCBTB2,1431.5298,298.7768079005182,1132.7529393434525,11.30878163614342,3.102579678109741e-14
CD52,862.45215,178.7727196488413,683.6794925630093,11.211218763063394,4.142551459826564e-14
GIMAP7,2671.7178,551.3611306585371,2120.356898546219,11.148881819467663,4.983834637549151e-14
SKIL,1959.3906,401.06049835681915,1558.330010175705,11.034549007440212,6.998353822047302e-14
PFN1P1,106.71684,21.792444344144315,84.92439576238394,11.002151300192649,7.705672569069642e-14
MX1,2450.72,499.97578582167625,1950.7441866397858,10.988863616212695,8.016140836157996e-14
CCDC50,378.86774,77.0856707996063,301.7820918276557,10.951770250902083,8.950942036054223e-14
GZMB,433.54022,88.17917857435532,345.36103734374046,10.947043448947435,9.077675027290119e-14
CRIM1,1887.2568,381.31296954490244,1505.943908214569,10.856176966525032,1.1896540382748237e-13
ID2,439.35773,88.66722828136699,350.6905012726784,10.840348965162534,1.247072953736626e-13
MT-CYB,77.40908,15.61375746014528,61.79532393068075,10.833179737914746,1.2739884465142253e-13
MT-TE,283.697,57.20119985938072,226.49580724537373,10.828021382815429,1.29371462874036e-13
C1orf21,478.08356,95.92448229668662,382.15907517494634,10.761911585084516,1.5754222738830906e-13
HLA-DRB6,398.90857,79.95538837835193,318.9531960003078,10.747932046802662,1.6424716688511908e-13
RGS1,1673.9358,334.21461072564125,1339.721061706543,10.695846952356595,1.9185152472216756e-13
HLA-DQB1,1559.8809,304.32475525024347,1255.5561298131943,10.392147010819421,4.755465146841617e-13
HLA-DPA1,2726.389,526.1158577203751,2200.2731370925903,10.25200781643313,7.237375951164669e-13
LAT2,1626.7339,312.1756783723831,1314.5583173036575,10.181771347861895,8.935193311110094e-13
ISG20,1793.7117,344.1976309157908,1449.5141295194626,10.180979353686515,8.956460122395686e-13
XBP1,2837.9404,544.3746108561754,2293.565937280655,10.176320227414717,9.082600768032006e-13
STEAP1,979.57764,186.86134493845748,792.7163639068604,10.106616349826849,1.1197416005059901e-12
CXCR3,2212.6152,420.503410898149,1792.1119225025177,10.06024429382859,1.2871708955443866e-12
NDFIP2,2245.2722,425.4763650097884,1819.7960104942322,10.024364843420178,1.4337815851564427e-12
IFITM2,3016.6987,567.0110029615462,2449.6880881786346,9.92395598006579,1.9394784003405525e-12
SIRPG,3594.6162,675.6319349892437,2918.984487056732,9.923903104354121,1.9397871488003293e-12
NCR3,3341.8145,625.6289110407233,2716.185691356659,9.87555440197951,2.2437940199714147e-12
LTA,2216.6162,414.5107920439914,1802.1056163311005,9.86188048460133,2.3381452658284813e-12
CD82,3113.7515,582.1288442015648,2531.6229296922684,9.858803972112844,2.3599164228137732e-12
SGK1,2156.3284,402.61127880960703,1753.7168538570404,9.843070471152046,2.474477936072705e-12
STK17B,319.94696,59.70462071150541,260.24233746528625,9.836353446322896,2.5250720239051386e-12
RP11-81H14.2,2727.5708,507.1510449559428,2220.4200715236366,9.792787108776853,2.879402710811369e-12
PFN1,67.87529,12.569531836546957,55.305752001702785,9.744351319467789,3.332248477121319e-12
NCR1,591.4129,108.88871526159346,482.5241810530424,9.675377629059412,4.103254004167543e-12
MT-TI,626.3809,114.34500110149384,512.0359308719635,9.574605270137667,5.563061901613732e-12
SIT1,3316.0083,604.7494411058724,2711.258528470993,9.563319770186823,5.756073042581152e-12
MT-CO2,74.60448,13.576341069303453,61.02813094854355,9.537988699624057,6.2141290530478376e-12
PATL2,1443.8801,260.49423234164715,1183.3860421180725,9.437909366970347,8.411038830033675e-12
MT-ND4L,103.460335,18.636159332934767,84.82418148219585,9.419782395038958,8.88540168392242e-12
CTSL,706.67365,127.07032690942287,579.6032910346985,9.39977455358401,9.440220161071604e-12
CTLA4,3567.7031,637.8038025833666,2929.8993434906006,9.333371160520064,1.154315796123826e-11
ITM2A,2972.0503,530.7112220972776,2441.338924884796,9.320395220624487,1.2006028423903742e-11
HLA-DRA,2827.5095,501.8917760608456,2325.61756169796,9.252858360296253,1.47335198607077e-11
VAMP5,3465.7222,614.5961386803538,2851.1257581710815,9.242247337003993,1.5215307669679587e-11
KIAA0101,1583.7437,279.99327982217073,1303.7502461536787,9.20783095365991,1.6889467854017068e-11
XAF1,2596.0596,454.4470685720444,2141.6125185489655,9.098012780681696,2.3571146045985195e-11
CAPG,1531.594,266.18260621226545,1265.411470592022,9.018868175749594,2.9978490680441095e-11
CDKN1A,1691.0479,290.15273454785347,1400.895223736763,8.880249059994531,4.5699335350478356e-11
MT-TG,889.47705,152.26068119704723,737.2164290547371,8.855169864694773,4.932453043483699e-11
SPOCK1,1980.2156,338.52300920151174,1641.6927087306976,8.840980984033665,5.1501902845927914e-11
C3orf14,1691.0564,288.49481930211186,1402.5613821502775,8.81901892850829,5.506379955118344e-11
HNRNPH1,95.64528,16.29969392507337,79.34558653831482,8.807665397999884,5.7001017749797604e-11
IFITM3,1260.969,214.70411335397512,1046.2648650407791,8.798382864259608,5.863556316900482e-11
ADAM19,1524.2947,259.35067811608315,1264.9440700113773,8.790633979672359,6.003600445823663e-11
ITGB1,2469.247,420.0368354320526,2049.209921360016,8.788303790368643,6.046366101714645e-11
SHC4,1014.58203,171.5245871838415,843.0575642585754,8.72314891329486,7.374229597901703e-11
CMTM6,2146.992,362.62107666768134,1784.371017217636,8.713086298817952,7.603921642018342e-11
IL18RAP,1112.0134,186.07971806358546,925.9337192177773,8.616348823235567,1.0213224318882912e-10
CST7,917.5586,151.99720432610775,765.5614505857229,8.512550012145823,1.4020589747364825e-10
NUCB2,2560.071,423.2775768637657,2136.793157696724,8.493113169454332,1.4878098731522528e-10
CTNNB1,375.2909,62.01680641528219,313.2740751206875,8.487681510290525,1.512700042977491e-10
MT2A,2423.4707,400.0936070084572,2023.3773264884949,8.477911250620679,1.5585274523935894e-10
FKBP11,2487.5684,410.43114401213825,2077.137073278427,8.471870020472947,1.5875578726834769e-10
HLA-DRB1,3233.2236,533.2258336022496,2699.9976382255554,8.46743615328547,1.6092088152616616e-10
CTSC,1474.8347,242.7895501642488,1232.0452229082584,8.449042104737169,1.702236906727001e-10
ITGB1P1,350.76093,57.5423678457737,293.21857887506485,8.413958729534484,1.89489021897405e-10
ZBTB32,1392.9086,226.54370601770643,1166.3648309409618,8.327635691547023,2.4672639155599175e-10
SLA,3659.13,592.4639763571322,3066.6659836769104,8.283227818588628,2.826307004310304e-10
EWSR1,2348.8987,378.030831553624,1970.8677887916565,8.22382505566182,3.3898522145018486e-10
CLECL1,1711.5807,274.74241012334824,1436.8382958173752,8.19826480706202,3.6658003297934137e-10
CD28,1119.9634,178.7919801734388,941.1714747399092,8.144856017926585,4.317283648815529e-10
MT-TH,1605.8586,255.6360590569675,1350.2226577997208,8.117473046947818,4.69511213426402e-10
HLA-B,530.4973,84.40194929263089,446.09540778398514,8.112017099431487,4.774265080331288e-10
CLEC7A,887.2106,141.08979768119752,746.1207543611526,8.107568433424483,4.839793940203991e-10
GZMK,518.7645,82.4531718250364,436.3113697171211,8.102424065388076,4.916695644073694e-10
AKR1C3,1845.7256,293.2849641367793,1552.4405666589737,8.099886789499676,4.955074599420211e-10
HOXB2,1953.5969,310.2888391521792,1643.30797290802,8.095642568512215,5.019945503129178e-10
PRDX2,2826.2024,448.88316567614675,2377.319180250168,8.09561706658991,5.020337850321564e-10
SMCO4,3018.0342,478.79500713944435,2539.2393732070923,8.084442982299901,5.195243369774588e-10
MKI67,829.59924,131.58444492518902,698.0147943496704,8.082469199558654,5.226767496788212e-10
PAX8-AS1,1526.721,241.78948581285658,1284.9314066171646,8.067920319201063,5.465127916150257e-10
LINC00861,1109.5066,174.42131067067385,935.0853254199028,7.997466639364683,6.782938467292515e-10
SOCS2,2906.791,456.5614672170195,2450.2294087409973,7.9890776092627105,6.959728301164453e-10
TC2N,1761.9689,275.86497899051756,1486.1038353443146,7.958872518136046,7.635406977546613e-10
GOLIM4,773.3517,120.89990563527681,652.4517734050751,7.944776404024367,7.972866826375709e-10
CORO1A,3122.0483,487.8983845114708,2634.1500248908997,7.941325679351051,8.057730185459647e-10
GNPTAB,2740.5496,425.5021150477696,2315.0474491119385,7.880358214546042,9.715688006139475e-10
IFI6,525.2494,81.46945819305256,443.77995279431343,7.871024813160257,9.998086240454642e-10
CREM,2815.4573,434.4744294397533,2380.9828050136566,7.823698316092029,1.156180806284858e-09
MT-TF,1253.445,193.38979854993522,1060.0551680326462,7.821845374535375,1.1627786627203367e-09
ISG15,3245.1628,497.26701039634645,2747.8959765434265,7.758780991979963,1.4113233932659018e-09
KIAA0319L,1851.6097,282.1119952384688,1569.4978737831116,7.70663789858745,1.6565894952750308e-09
IDH2,2261.4841,342.0090712197125,1919.474922657013,7.63940114843865,2.0369642309534783e-09
USP18,721.75604,109.01333124935627,612.7427657842636,7.62790984783616,2.1102291329827112e-09
CDKN2B,1761.4148,265.87554723769426,1495.539129793644,7.622277385272456,2.1470986004586395e-09
FAIM3,2184.2861,329.4683684713673,1854.817500591278,7.615820043592864,2.1901626365119464e-09
PHLDA1,1256.7571,188.14741908106953,1068.6096827983856,7.5488934107130135,2.6908188076444687e-09
SOX4,846.47754,126.60359994089231,719.8738271323964,7.5403899167839,2.7621491740910023e-09
MPZL2,883.92993,131.61492256447673,752.3149212002754,7.500834618498424,3.119682221598673e-09
LY6E,2890.4268,426.82381521817297,2463.602846801281,7.428174188562823,3.901667191306041e-09
CLIC3,1312.3453,193.48111049598083,1118.864054709673,7.414218534947686,4.0729815137383626e-09
CTSW,1537.4751,225.7257863287814,1311.749372601509,7.3779285060016875,4.554581956044747e-09
ZWINT,1366.0852,199.28608670830727,1166.7991585482378,7.322932061632466,5.39539051749387e-09
SUPT3H,2200.6519,319.17897142260335,1881.4728915691376,7.273449679272857,6.284054284747709e-09
LYAR,1954.499,282.8604341223836,1671.638548731804,7.254942237481832,6.652901323953833e-09
WSB2,1799.0833,260.2904732073657,1538.7927420139313,7.252408809882969,6.7050515637321405e-09
RNF19A,2591.997,373.6401579107478,2218.3567881584167,7.221481168375206,7.375696315785417e-09
MT-ND4,101.19003,14.540612260545458,86.6494160592556,7.194840762049129,8.007007887068119e-09
TPI1P1,357.78302,51.039609437808394,306.74343633651733,7.134050791050353,9.657759549752378e-09
DESI1,1218.7292,173.1591874230653,1045.5700349211693,7.100624456326995,1.0706542830136791e-08
MT-TC,471.2971,66.86994170770049,404.4271381497383,7.089160148437268,1.1091921018939533e-08
ANXA2P2,294.59442,41.75253699469147,252.84188729524612,7.0800769714119065,1.1407096682028787e-08
HLA-G,206.7136,29.27533291639901,177.43825748562813,7.0738966701827115,1.162665835783552e-08
RP11-291B21.2,556.307,77.81227571645286,478.49472284317017,6.9722844622392595,1.5908114671250558e-08
RP11-673C5.1,410.87598,57.46198053844273,353.41397911310196,6.971094979797864,1.5966621093694842e-08
HSH2D,1598.1389,223.01776167284697,1375.12117934227,6.953486482039955,1.6858357535004782e-08
RUNX2,1363.3157,190.11783519387245,1173.1977282762527,6.947935533351028,1.714968126224799e-08
MT-RNR2,49.66523,6.905950395856053,42.75928393751383,6.924639422283649,1.84283002394646e-08
CD27,2557.5762,355.4778228155337,2202.0984501838684,6.92117632249522,1.8626357535097122e-08
BIN1,1571.6597,216.51572582498193,1355.1440260410309,6.850276846119548,2.3184096298503515e-08
MT-ND5,344.0089,47.29207030422549,296.7168237864971,6.83361155063005,2.4408369593329885e-08
BST2,3420.3457,469.1123138666153,2951.2334384918213,6.815181135691401,2.5837829129937248e-08
CTSH,1732.7908,237.15444004908204,1495.636278271675,6.798442084364461,2.7208611081758804e-08
PMCH,534.8916,73.17488091038831,461.71675103902817,6.7950166676272525,2.7497973629683622e-08
NAMPT,2448.2778,334.28414667304605,2113.993693113327,6.779789757792109,2.8822015298725674e-08
RRM2,1328.9902,180.67260588053614,1148.3177762031555,6.745813865862804,3.201102222265519e-08
HMGN2P8,1028.5112,139.38475862145424,889.1265544891357,6.721339606518155,3.452489744664998e-08
LGALS1,3709.2986,502.4527307897806,3206.8458725214005,6.717710076809463,3.4914169983196586e-08
IFI27L2,2534.767,342.3924618251622,2192.3743345737457,6.6959718371306405,3.733933441645078e-08
EMP3,2128.204,287.0993164256215,1841.1048570871353,6.685867534575706,3.85233053452786e-08
KIAA1217,609.8002,82.18009497714229,527.620013183332,6.678047617804588,3.946533792653497e-08
LCK,1778.1932,239.4933660775423,1538.6998318433762,6.67334710648089,4.004264880385408e-08
CD7,1449.2888,195.0434247907251,1254.245320558548,6.667345455335887,4.079206741147926e-08
TNFSF8,1602.6913,215.43032145616598,1387.261000752449,6.658137890002823,4.196918621865624e-08
ACTG1,1233.8776,165.8477980159223,1068.029732465744,6.657796242728419,4.201351148456329e-08
NEAT1,820.1545,109.99347097426653,710.1610198020935,6.640705328118285,4.429173212731651e-08
MAP3K6,538.00964,72.0490015950054,465.9605979323387,6.629532533638003,4.584749570206174e-08
RPS19,109.2112,14.541406514123082,94.66977886855602,6.585658187272966,5.2504385472153534e-08
MCM4,1200.175,158.58444916829467,1041.5906785232946,6.52781212263755,6.278203955609683e-08
ITGA4,2571.1865,339.6913418583572,2231.495153903961,6.5266851495048686,6.300109855644824e-08
CD38,1756.513,231.95327794190962,1524.559583902359,6.523193253164651,6.368471552374684e-08
RPL6,1554.7219,205.26801649481058,1349.4540207386017,6.521797758176298,6.39599864870878e-08
FUT8,2561.3896,334.60122737661004,2226.7884011268616,6.442474559555087,8.173182601424505e-08
DPYSL2,2362.455,308.3758159093559,2054.0791478157043,6.436759324086133,8.3188614667008e-08
CEACAM1,2841.7268,370.5999596789479,2471.1271481513977,6.430050870964491,8.493174925822143e-08
MTATP6P1,89.99195,11.733498234640138,78.25845256447792,6.428362947704702,8.537606642041977e-08
CCR1,1432.3281,186.0672512887977,1246.2608041763306,6.401255156443534,9.283885097534192e-08
PLSCR1,3167.4468,411.3703536391258,2756.076555252075,6.399497096213413,9.334479282329521e-08
TK1,1271.5386,164.27711331605678,1107.2612428483553,6.361083510253921,1.0511505811735488e-07
RGL4,781.7473,100.65064719505608,681.0966375470161,6.335953314980412,1.1360739828206498e-07
IDI1,2554.8647,328.63988652825356,2226.2247438430786,6.329295896053553,1.1596996528662506e-07
SH2D1A,2993.5093,384.6290003657341,2608.8805079460144,6.321089961940909,1.1894980083693706e-07
WDR76,838.6797,107.52047467790544,731.1592229902744,6.3049746305074175,1.250265390031713e-07
GZMH,1744.1073,222.44523829221725,1521.6620788574219,6.267711947543678,1.402933297120244e-07
CCND3,2645.1687,336.0080401331388,2309.1607184410095,6.2387795728807145,1.5342184107698742e-07
RP11-493L12.5,803.1858,101.75505340844393,701.4307698607445,6.21978405046755,1.6270263204308945e-07
