,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
neg_1,Interval_28044,Interval_24410,Interval_21283,Interval_61729,Interval_38720,Interval_75313,Interval_15946,Interval_62101,Interval_46488,Interval_55728,Interval_20308,Interval_72070,Interval_52413,Interval_41771,Interval_67670,Interval_67068,Interval_20382,Interval_1874,Interval_64242,Interval_20678
neg_2,Interval_23210,Interval_37088,Interval_5438,Interval_32359,Interval_25658,Interval_76845,Interval_25949,Interval_57639,Interval_15182,Interval_59929,Interval_49682,Interval_15489,Interval_78093,Interval_26279,Interval_18902,Interval_38720,Interval_20390,Interval_45532,Interval_22428,Interval_68182
neg_3,Interval_29204,Interval_62202,Interval_69238,Interval_66709,Interval_59631,Interval_7309,Interval_75479,Interval_18727,Interval_46736,Interval_62201,Interval_71282,Interval_23536,Interval_68638,Interval_62201,Interval_68815,Interval_69238,Interval_79573,Interval_18135,Interval_36472,Interval_47710
neg_4,Interval_23191,Interval_34436,Interval_20382,Interval_72048,Interval_32577,Interval_79199,Interval_48525,Interval_17449,Interval_71407,Interval_46078,Interval_13092,Interval_52878,Interval_11700,Interval_39269,Interval_31872,Interval_78093,Interval_69312,Interval_71409,Interval_60489,Interval_49683
neg_5,Interval_63853,Interval_58876,Interval_36093,Interval_7330,Interval_57639,Interval_75896,Interval_75313,Interval_67770,Interval_79884,Interval_47232,Interval_49683,Interval_79837,Interval_59052,Interval_43908,Interval_67335,Interval_61599,Interval_14769,Interval_34889,Interval_67011,Interval_80146
neg_6,Interval_32394,Interval_66906,Interval_22158,Interval_46316,Interval_36671,Interval_80133,Interval_42714,Interval_67815,Interval_30510,Interval_28696,Interval_74565,Interval_42183,Interval_7309,Interval_31872,Interval_18906,Interval_67350,Interval_62202,Interval_43913,Interval_42609,Interval_59738
neg_7,Interval_71334,Interval_44139,Interval_46892,Interval_39097,Interval_58772,Interval_75016,Interval_74643,Interval_20547,Interval_31904,Interval_71770,Interval_52878,Interval_46078,Interval_67350,Interval_48448,Interval_7119,Interval_45245,Interval_78243,Interval_54715,Interval_50443,Interval_31729
neg_8,Interval_75762,Interval_43629,Interval_46137,Interval_74565,Interval_59505,Interval_36463,Interval_8059,Interval_23714,Interval_51245,Interval_62202,Interval_65700,Interval_59631,Interval_15489,Interval_30818,Interval_76650,Interval_7309,Interval_79200,Interval_57448,Interval_74930,Interval_24876
neg_9,Interval_59754,Interval_67973,Interval_70429,Interval_17666,Interval_53703,Interval_18655,Interval_47313,Interval_67786,Interval_74565,Interval_73429,Interval_71344,Interval_47313,Interval_26097,Interval_5554,Interval_8860,Interval_78551,Interval_70248,Interval_55728,Interval_31441,Interval_40488
neg_10,Interval_47879,Interval_63565,Interval_4474,Interval_36805,Interval_42714,Interval_1874,Interval_42828,Interval_35117,Interval_43913,Interval_36671,Interval_31925,Interval_79730,Interval_32264,Interval_44481,Interval_78350,Interval_59631,Interval_53422,Interval_76256,Interval_13092,Interval_59740
pos_10,Interval_78444,Interval_51439,Interval_75924,Interval_63702,Interval_28044,Interval_23899,Interval_35252,Interval_55728,Interval_22849,Interval_25777,Interval_15890,Interval_32232,Interval_60088,Interval_78445,Interval_37381,Interval_31758,Interval_43655,Interval_45881,Interval_60090,Interval_46051
pos_9,Interval_53602,Interval_2021,Interval_18929,Interval_54176,Interval_53421,Interval_10639,Interval_26951,Interval_45432,Interval_12461,Interval_47560,Interval_3443,Interval_71271,Interval_60086,Interval_75217,Interval_59225,Interval_31866,Interval_37331,Interval_28698,Interval_28206,Interval_67816
pos_8,Interval_51567,Interval_46596,Interval_45503,Interval_54179,Interval_53239,Interval_67767,Interval_27891,Interval_8391,Interval_60909,Interval_21283,Interval_36671,Interval_66930,Interval_67772,Interval_46052,Interval_46740,Interval_56360,Interval_79013,Interval_53159,Interval_53421,Interval_30510
pos_7,Interval_73284,Interval_52534,Interval_2605,Interval_58910,Interval_24711,Interval_46305,Interval_46305,Interval_5438,Interval_18753,Interval_39830,Interval_68771,Interval_25777,Interval_18826,Interval_71043,Interval_76195,Interval_11486,Interval_63268,Interval_68182,Interval_60088,Interval_71043
pos_6,Interval_78350,Interval_30381,Interval_75914,Interval_19284,Interval_42182,Interval_5438,Interval_10835,Interval_7667,Interval_20853,Interval_47078,Interval_32070,Interval_21283,Interval_13346,Interval_75215,Interval_9443,Interval_64255,Interval_36643,Interval_18930,Interval_46488,Interval_45127
pos_5,Interval_52413,Interval_26843,Interval_17364,Interval_25652,Interval_15251,Interval_67785,Interval_39830,Interval_23059,Interval_42609,Interval_20773,Interval_26733,Interval_12906,Interval_60087,Interval_46137,Interval_42286,Interval_45990,Interval_28207,Interval_16879,Interval_28207,Interval_18900
pos_4,Interval_76292,Interval_57534,Interval_26940,Interval_56702,Interval_54918,Interval_39830,Interval_36644,Interval_38974,Interval_25949,Interval_68071,Interval_9388,Interval_64666,Interval_32602,Interval_68628,Interval_24711,Interval_75313,Interval_36317,Interval_36210,Interval_52423,Interval_26044
pos_3,Interval_18881,Interval_41336,Interval_26279,Interval_20166,Interval_31868,Interval_67786,Interval_78093,Interval_39348,Interval_39830,Interval_6721,Interval_21283,Interval_13092,Interval_75098,Interval_56394,Interval_78148,Interval_72910,Interval_32577,Interval_53949,Interval_79737,Interval_46137
pos_2,Interval_57639,Interval_14532,Interval_17936,Interval_72086,Interval_42183,Interval_67772,Interval_5886,Interval_32070,Interval_77486,Interval_12460,Interval_64242,Interval_71043,Interval_10835,Interval_28339,Interval_76206,Interval_39830,Interval_49683,Interval_57639,Interval_47313,Interval_59631
pos_1,Interval_49665,Interval_24711,Interval_45507,Interval_25658,Interval_53422,Interval_78093,Interval_62195,Interval_27161,Interval_36472,Interval_63752,Interval_19725,Interval_77082,Interval_60090,Interval_69194,Interval_80133,Interval_54918,Interval_6907,Interval_24711,Interval_5438,Interval_79430
